Code station	Nom station	Secteur de la station	AASQA	Code ZAS	Nom ZAS	Type ZAS	Région	Code commune	Commune	Population commune	Unité urbaine	Population unité urbaine	Type unité urbaine	Latitude	Longitude	NO2	PM10	PM2.5	SO2	O3	C6H6	CO	As dans les  PM10	BaP dans les PM10	Cd dans les PM10	Ni dans les PM10	Pb dans les PM10
FR31008	LE TEMPLE	rurale régionale	ATMO NOUVELLE-AQUITAINE	FR75ZRE01	ZR NOUVELLE-AQUITAINE	ZRE	NOUVELLE-AQUITAINE	33528	 LE TEMPLE 	624	 COMMUNES HORS UNITÉ URBAINE DU DÉPARTEMENT 33 	210646	rurale	44,865555	-0,939444	fond				fond							
FR31010	AMBES	périurbaine	ATMO NOUVELLE-AQUITAINE	FR75ZAG01	ZAG BORDEAUX	ZAG	NOUVELLE-AQUITAINE	33004	 AMBÈS 	3070	 AMBÈS 	3070	agglomération	45,012223	-0,528333	industrielle				fond							
FR31013	BILLERE	urbaine	ATMO NOUVELLE-AQUITAINE	FR75ZRE01	ZR NOUVELLE-AQUITAINE	ZRE	NOUVELLE-AQUITAINE	64129	 BILLÈRE 	12628	 PAU 	200401	agglomération	43,310833	-0,391111	fond	fond	fond		fond							
FR31016	SAINT-CROUTS	urbaine	ATMO NOUVELLE-AQUITAINE	FR75ZRE01	ZR NOUVELLE-AQUITAINE	ZRE	NOUVELLE-AQUITAINE	64102	 BAYONNE 	51411	 BAYONNE (PARTIE FRANÇAISE) 	254519	agglomération	43,47972	-1,488056	fond	fond			fond							
FR31017	ANGLET	urbaine	ATMO NOUVELLE-AQUITAINE	FR75ZRE01	ZR NOUVELLE-AQUITAINE	ZRE	NOUVELLE-AQUITAINE	64024	 ANGLET 	39604	 BAYONNE (PARTIE FRANÇAISE) 	254519	agglomération	43,494031	-1,528765	trafic	trafic										
FR31020	LACQ	rurale près des villes	ATMO NOUVELLE-AQUITAINE	FR75ZRE01	ZR NOUVELLE-AQUITAINE	ZRE	NOUVELLE-AQUITAINE	64300	 LACQ 	729	 COMMUNES HORS UNITÉ URBAINE DU DÉPARTEMENT 64 	146253	rurale	43,410557	-0,616944	industrielle			industrielle								
FR31021	LABASTIDE CEZERACQ	rurale près des villes	ATMO NOUVELLE-AQUITAINE	FR75ZRE01	ZR NOUVELLE-AQUITAINE	ZRE	NOUVELLE-AQUITAINE	64288	 LABASTIDE-CÉZÉRACQ 	556	 COMMUNES HORS UNITÉ URBAINE DU DÉPARTEMENT 64 	146253	rurale	43,376276	-0,538192	fond	fond		industrielle	fond							
FR31022	LAGOR	rurale près des villes	ATMO NOUVELLE-AQUITAINE	FR75ZRE01	ZR NOUVELLE-AQUITAINE	ZRE	NOUVELLE-AQUITAINE	64396	 MONT 	1131	 COMMUNES HORS UNITÉ URBAINE DU DÉPARTEMENT 64 	146253	rurale	43,40972	-0,671667				industrielle								
FR31023	MASLACQ	rurale près des villes	ATMO NOUVELLE-AQUITAINE	FR75ZRE01	ZR NOUVELLE-AQUITAINE	ZRE	NOUVELLE-AQUITAINE	64367	 MASLACQ 	886	 COMMUNES HORS UNITÉ URBAINE DU DÉPARTEMENT 64 	146253	rurale	43,434166	-0,691944				industrielle								
FR31024	MOURENX	rurale près des villes	ATMO NOUVELLE-AQUITAINE	FR75ZRE01	ZR NOUVELLE-AQUITAINE	ZRE	NOUVELLE-AQUITAINE	64410	 MOURENX 	6341	 MOURENX 	14133	agglomération	43,376945	-0,609444	industrielle			industrielle								
